Legende / Légende / legenda / legend,,,,,
Jahresergebnisse,,,Klassen SWISS10,,
DTV,Durchschnittlicher Tagesverkehr,,1,Car / Bus,
DWV,Durchschnittlicher Werktagesverkehr,,2,Motorrad,
DTV Di-Do,Durchschnittlicher Tagesverkehr von Dienstag bis Donnerstag,,3,Personenwagen,
DSaV,Durchschnittlicher Samstagsverkehr,,4,Personenwagen mit Anhänger,
DSoV,Durchschnittlicher Sonntagsverkehr,,5,Lieferwagen,
,,,6,Lieferwagen mit Anhänger,
DTV,Durchschnittlicher Tagesverkehr,,7,Lieferwagen mit Auflieger,
DTV SV,"DTV Schwerverkehr (Klassen 1, 8, 9, 10)",,8,Lastwagen,
DTV SGF,"DTV Schwere Güterfahrzeuge (Klassen 8, 9, 10)",,9,Lastenzug,
DWV,Durchschnittlicher Werktagesverkehr,,10,Sattelzug,
DWV SV,"DWV Schwerverkehr (Klassen 1, 8, 9, 10)",,,,
DWV SGF,"DWV Schwere Güterfahrzeuge (Klassen 8, 9, 10)",,,,
,,,,,
Résultats annuels,,,Classes SWISS10,,
TJM,Trafic journalier moyen,,1,Bus/Car,
TJMO,Trafic journalier moyen des jours ouvrables,,2,Motocycle,
TJM ma-je,Trafic journalier moyen du mardi au jeudi,,3,Voiture de tourisme  ,
TJM sa,Trafic journalier moyen du samedi,,4,Voiture de tourisme avec remorque ,
TJM di,Trafic journalier moyen du dimanche,,5,Voiture de livraison ,
,,,6,Voiture de livraison avec remorque  ,
TJM,Trafic journalier moyen,,7,Voiture de livraison avec galerie  ,
TJM VL,"TJM des véhicules lourds (classes 1, 8, 9, 10)",,8,Camion  ,
TJM VLM,"TJM des véhicules lourds affectés au transport de marchandises (classes 8, 9, 10)",,9,Train routier,
TJMO,Trafic journalier moyen des jours ouvrables,,10,Véhicule articulé,
TJMO VL,"TJMO des véhicules lourds (classes 1, 8, 9, 10)",,,,
TJMO VLM,"TJMO des véhicules lourds affectés au transport de marchandises (classes 8, 9, 10)",,,,
,,,,,
Risultati annuali ,,,Classi SWISS10,,
TGM,Traffico giornaliero medio,,1,Pullman / Autobus  ,
TFM,Traffico feriale medio,,2,Motocicletta,
TGM ma-gi,Traffico giornaliero medio da martedì a giovedì,,3,Autovettura ,
TGM sa,Traffico giornaliero medio del sabato,,4,Autovettura con rimorchio  ,
TGM do,Traffico giornaliero medio domenicale,,5,Furgone,
,,,6,Furgone con rimorchio    ,
TGM,Traffico giornaliero medio,,7,Furgone con semirimorchio  ,
TGM VP,"TGM di veicoli pesanti (classi 1, 8, 9, 10)",,8,Camion ,
TGM VMP,"TGM di veicoli merci pesanti (classi 8, 9, 10)",,9,Autotreno,
TFM,Traffico feriale medio,,10,Autoarticolato ,
TFM VP,"TFM di veicoli pesanti (classi, 1, 8, 9, 10)",,,,
TFM VMP,"TFM di veicoli merci pesanti (classi 8, 9, 10)",,,,
,,,,,
Annual results,,,Classes SWISS10,,
ADT,Average daily traffic,,1,Bus,
AWT,Average weekday traffic,,2,Motorcycle,
ADT Tu-Th,Average daily traffic from Tuesday to Thursday,,3,Passenger car  ,
ADT Sa,Average traffic on Saturdays,,4,Passenger car with trailer ,
ADT Su,Average traffic on Sundays,,5,Delivery van,
,,,6,Delivery van with trailer  ,
ADT,Average daily traffic,,7,Delivery van with semi-trailer  ,
ADT HV,"Heavy vehicles traffic (Classes 1, 8, 9, 10)",,8,Truck ,
ADT HGV,"Heavy goods vehicles traffic (Classes 8, 9, 10)",,9,Truck with trailer,
AWT,Average weekday traffic,,10,Truck with semi-trailer,
AWT HG,AWT heavy traffic,,,,
AWT HGV,AWT heavy goods vehicles,,,,
,,,,,
,,,,,
